Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win_0.008,proba_draw_0.008,proba_lose_0.008,proba_O_0.008,proba_U_0.008
Manchester City,1,1,Liverpool,2023-11-25,1.73,4.2,4.2,1.48,2.6,0.6180061148881073,0.20374822419192493,0.17823270708001937,0.6062192813253486,0.3937795761760443
Burnley,1,2,West Ham,2023-11-25,3.4,3.5,2.05,1.75,2.05,0.22182693656295532,0.2063842514258899,0.5717738553705456,0.659876611569072,0.34012038037317116
Nott'ham Forest,2,3,Brighton,2023-11-25,3.2,3.6,2.15,1.73,2.08,0.4113411623844384,0.2265107769990813,0.362144366148887,0.6578765252282237,0.34212057351254055
Sheffield Utd,1,3,Bournemouth,2023-11-25,3.2,3.5,2.2,1.85,2.05,0.4833809963604874,0.29739394528414925,0.21922497246345196,0.31536357604977544,0.6846364207643889
Newcastle Utd,4,1,Chelsea,2023-11-25,2.55,3.5,2.63,1.86,2.04,0.6010758161467509,0.21533043018726775,0.18358698207005986,0.562262570389995,0.4377369152353393
Luton Town,2,1,Crystal Palace,2023-11-25,3.6,3.3,2.1,2.15,1.67,0.34832233897681897,0.30839139696944434,0.34328624379469025,0.3237069300220637,0.6762930660694763
Brentford,0,1,Arsenal,2023-11-25,4.5,3.75,1.75,1.9,2.0,0.5459373495680447,0.2322894168329838,0.22177030063551403,0.5397366394109748,0.4602630206209377
Tottenham,1,2,Aston Villa,2023-11-26,2.3,3.8,2.8,1.5,2.5,0.24117314757080915,0.2525238173691102,0.5063021475535486,0.4757317102591033,0.5242681883216038
Everton,0,3,Manchester Utd,2023-11-26,2.7,3.4,2.55,1.85,2.05,0.3782261527311151,0.32101094154990656,0.3007628932397585,0.28597366238518096,0.7140263361111474
Fulham,3,2,Wolves,2023-11-27,2.38,3.3,3.0,2.08,1.73,0.3602099559335562,0.26531193483309584,0.3744778572352391,0.47558770966233654,0.5244121892006852
Brentford,3,1,Luton Town,2023-12-02,1.45,4.5,6.5,1.7,2.1,0.6829397610038873,0.19861858346878586,0.11843307776623846,0.5061085864765833,0.49389123215330977
Arsenal,2,1,Wolves,2023-12-02,1.25,5.5,12.0,1.65,2.2,0.45436740726881597,0.2580224114201264,0.28760963993871497,0.4854358345234388,0.5145640431599734
Burnley,5,0,Sheffield Utd,2023-12-02,1.8,3.6,4.5,2.06,1.84,0.327820616090927,0.27644211832996196,0.3957371278253674,0.4277794536492793,0.5722205072638409
Nott'ham Forest,0,1,Everton,2023-12-02,2.75,3.25,2.6,2.05,1.75,0.5371682425726111,0.225935344767483,0.23689195724694964,0.584763016220393,0.41523620890345814
Newcastle Utd,1,0,Manchester Utd,2023-12-02,1.91,3.75,3.8,1.67,2.15,0.779139723798871,0.1494359563668632,0.07137906851933444,0.576731709662812,0.4232676206834393
Bournemouth,2,2,Aston Villa,2023-12-03,3.4,4.0,1.95,1.53,2.4,0.28653888729033455,0.20646080855206955,0.5069822890043933,0.7253003008328279,0.2746897318207844
Liverpool,4,3,Fulham,2023-12-03,1.25,6.5,9.0,1.4,2.88,0.7949810873407046,0.14817360545830305,0.056814074202146195,0.5231699331526648,0.476829816964171
Chelsea,3,2,Brighton,2023-12-03,1.73,4.2,4.2,1.53,2.4,0.5009539440315366,0.1980872251639844,0.3009242593351079,0.7770740054584423,0.22289917388829214
