Home,Hscore,Ascore,Away,date,Odds_1,Odds_X,Odds_2,O,U,proba_win,proba_draw,proba_lose,proba_O,proba_U
Wolves,3,0,Everton,2023-12-30,2.63,3.3,2.7,2.05,1.75,,,,,
Manchester City,2,0,Sheffield Utd,2023-12-30,1.08,11.0,29.0,1.3,3.5,,,,,
Crystal Palace,3,1,Brentford,2023-12-30,2.2,3.3,3.4,2.15,1.67,,,,,
Nott'ham Forest,2,1,Manchester Utd,2023-12-30,3.2,3.6,2.15,1.73,2.08,,,,,
Tottenham,3,1,Bournemouth,2023-12-31,1.75,4.2,4.0,1.4,2.88,,,,,
Fulham,2,1,Arsenal,2023-12-31,5.25,4.5,1.55,1.73,2.08,,,,,
Liverpool,4,2,Newcastle Utd,2024-01-01,1.45,4.5,7.0,1.44,2.7,0.6071086180806393,0.2034252048916408,0.18946087796392697,0.5362464163013521,0.4637534166484471
West Ham,0,0,Brighton,2024-01-02,2.45,3.75,2.75,1.6,2.3,0.4916853165215065,0.19116034331657128,0.31714012890444027,0.7430866570332643,0.25690793097499126
Burnley,1,1,Luton Town,2024-01-12,2.0,3.6,3.6,1.99,1.91,0.43678456505533214,0.22206536223097728,0.34114839012854964,0.6021466879614528,0.39785269229335807
Chelsea,1,0,Fulham,2024-01-13,1.6,4.2,5.25,1.62,2.25,0.5162142999120201,0.20336252743435063,0.28041462634178677,0.6730597826161786,0.3269381153889888
Newcastle Utd,2,3,Manchester City,2024-01-13,5.5,4.33,1.55,1.6,2.3,0.33008322979605953,0.20579099979580756,0.46411945354127165,0.6903740345918452,0.30962314291235365
Everton,0,0,Aston Villa,2024-01-14,2.8,3.5,2.45,1.73,2.08,0.31054984348581627,0.2383791055100586,0.4510704608281038,0.5041054492962838,0.4958944374577319
Manchester Utd,2,2,Tottenham,2024-01-14,2.2,3.75,3.0,1.48,2.6,0.37617933486625466,0.23465004936630254,0.3891700314388995,0.5394842003099023,0.4605155890631627
Arsenal,5,0,Crystal Palace,2024-01-20,1.3,5.75,9.0,1.73,2.08,0.6731603657662371,0.19670460664707387,0.13012722300208704,0.5046575879711721,0.4953422756252416
Brentford,3,2,Nott'ham Forest,2024-01-20,1.91,3.6,4.0,1.86,2.04,0.5095052302853134,0.2246547351437358,0.2658373915063374,0.5716312322760786,0.42836832500985145
Sheffield Utd,2,2,West Ham,2024-01-21,3.4,3.3,2.2,2.05,1.75,0.15959955965343914,0.2064968772955084,0.6338975377049672,0.5197972772469982,0.48020254434079074
Bournemouth,0,4,Liverpool,2024-01-21,4.2,4.5,1.7,1.44,2.7,0.22551338433319373,0.2085750362918952,0.56590391592757,0.6115353826885486,0.3884637234998912
Brighton,0,0,Wolves,2024-01-22,1.65,4.33,5.0,1.62,2.25,0.5264297574589395,0.20847988098621084,0.26508345231675895,0.6425300507774118,0.3574685759919974
Nott'ham Forest,1,2,Arsenal,2024-01-30,7.5,5.0,1.4,1.62,2.25,0.1774350980650224,0.19491625698506632,0.627634129181668,0.610889112509298,0.38910998174422823
Fulham,0,0,Everton,2024-01-30,2.45,3.2,3.0,2.05,1.75,0.44964045834096517,0.26136910678474967,0.28899021353815274,0.4230529534486498,0.5769470175991933
