Modèle 1 :;;;;;;;;;;;;;;
Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U
West Ham;0;2;Fulham;14/04/2024;2.38;3.6;2.8;1.67;2.2;0.42125859818908684;0.24456041748921356;0.33417990906765277;0.5630490468163083;0.4369504315437059
Arsenal;0;2;Aston Villa;14/04/2024;1.29;5.75;10.0;1.5;2.63;0.6379317569267932;0.18653281418267706;0.17549820768367194;0.6850780991557311;0.3149171507472194
Chelsea;6;0;Everton;15/04/2024;1.7;4.2;4.5;1.53;2.5;0.5787391543180259;0.2445814943671386;0.17667804801807563;0.4359847494181722;0.5640152044104945
Luton Town;1;5;Brentford;20/04/2024;3.1;3.75;2.15;1.57;2.38;0.3330781385306208;0.22531509627239402;0.4416025023564273;0.6561690185942408;0.3438281695346552
Sheffield Utd;1;4;Burnley;20/04/2024;2.75;3.6;2.45;1.67;2.2;0.2748158306212374;0.2521562424706819;0.4730271028901612;0.5020601871069812;0.4979396449517877
Wolves;0;2;Arsenal;20/04/2024;8.5;4.5;1.4;1.62;2.3;0.14250416078073694;0.2021697120153537;0.6553163956766008;0.5446464579803951;0.4553531699195971
Everton;2;0;Nott'ham Forest;21/04/2024;2.05;3.5;3.6;1.93;1.97;0.3885431099005046;0.2693254437430604;0.34213124363262076;0.45751997467513195;0.5424799543258173
Aston Villa;3;1;Bournemouth;21/04/2024;1.85;4.0;3.6;1.44;2.75;0.6867713305046077;0.17347392041698237;0.13970329610009852;0.6738375056806983;0.326158622376049
Crystal Palace;5;2;West Ham;21/04/2024;2.1;3.6;3.4;1.8;2.0;0.3534921288928473;0.2610895331029622;0.385418003938183;0.49287600673652177;0.5071238522492608
Fulham;1;3;Liverpool;21/04/2024;5.25;4.5;1.57;1.44;2.75;0.20994440820303525;0.21388330786854484;0.5761636120671864;0.6078424040289043;0.3921564199453747
Arsenal;5;0;Chelsea;23/04/2024;1.44;5.0;6.0;1.53;2.5;0.596315297373162;0.21389578776261112;0.1897812275171796;0.5783500661460079;0.42164924442133916
Wolves;0;1;Bournemouth;24/04/2024;2.7;3.6;2.5;1.67;2.2;0.4620715158201003;0.2637617355037488;0.2741663425020861;0.45547455553247507;0.5445253762818822
Manchester Utd;4;2;Sheffield Utd;24/04/2024;1.3;6.5;7.5;1.36;3.2;0.7719761823413968;0.13491709966954724;0.09288972735500034;0.7370546412476311;0.2629329410713396
Everton;2;0;Liverpool;24/04/2024;7.0;5.0;1.4;1.53;2.5;0.11396224361245089;0.17739765959940584;0.7086146408696898;0.5869345526019117;0.41306464169917645
Crystal Palace;2;0;Newcastle Utd;24/04/2024;2.75;3.6;2.4;1.57;2.38;0.27310009326163054;0.2306869558479409;0.4962096589923219;0.5959303005056077;0.40406875123315567
Brighton;0;4;Manchester City;25/04/2024;6.5;5.0;1.4;1.5;2.63;0.13046837186201238;0.18468591147461413;0.6848234559565077;0.5960481121002255;0.4039509376152709
West Ham;2;2;Liverpool;27/04/2024;5.5;5.0;1.5;1.36;3.2;0.18179234797898622;0.19178319590122284;0.6263960695714911;0.6703886421083611;0.32960772076362477
Wolves;2;1;Luton Town;27/04/2024;1.95;3.8;3.6;1.62;2.3;0.46238772220673346;0.24138900754439813;0.29622174135069385;0.5617320362339541;0.43826745453839006
Fulham;1;1;Crystal Palace;27/04/2024;2.1;3.5;3.5;1.73;2.1;0.4674007156712555;0.25642841187068194;0.2761702434565432;0.48542122016128736;0.5145786575932829
Manchester Utd;1;1;Burnley;27/04/2024;1.5;4.75;5.5;1.36;3.2;0.5568298642497409;0.22985287310866442;0.21331394087913094;0.5402326566592083;0.45976700035872664
Newcastle Utd;5;1;Sheffield Utd;27/04/2024;1.22;7.0;11.0;1.33;3.4;0.8397207509865928;0.09841648463235307;0.060953026213962765;0.8111447776397629;0.18880182481439628
Everton;1;0;Brentford;27/04/2024;2.3;3.5;3.0;1.87;2.03;0.2810898660336089;0.26403561279617055;0.454874135489396;0.4582019471757202;0.5417979808630223
Aston Villa;2;2;Chelsea;27/04/2024;2.15;3.8;3.0;1.44;2.75;0.4281508649509124;0.24469269740920263;0.3271553455471024;0.5602646702052664;0.43973483405676195
