Home;Hscore;Ascore;Away;date;Odds_1;Odds_X;Odds_2;O;U;proba_win;proba_draw;proba_lose;proba_O;proba_U;
Brighton;0;0;Wolves;22/01/2024;1.65;4.33;5.0;1.62;2.25;0.5585367629203252;0.24674373843475206;0.1947182759679126;0.45060587014409464;0.5493940679487563;
Nott'ham Forest;1;2;Arsenal;30/01/2024;7.5;5.0;1.4;1.62;2.25;0.1665056427567372;0.18899468520657978;0.644471157901096;0.6554053086350488;0.3445919180283044;
Fulham;0;0;Everton;30/01/2024;2.45;3.2;3.0;2.05;1.75;0.5412484850851659;0.24995960128087985;0.20879086746067935;0.45454535445249994;0.5454545786047934;
Luton Town;4;0;Brighton;30/01/2024;4.2;4.2;1.75;1.65;2.2;0.29664810191386076;0.23023160050710118;0.4731170380137092;0.6142903805209088;0.3857082983313986;
Crystal Palace;3;2;Sheffield Utd;30/01/2024;1.62;3.6;6.5;2.08;1.73;0.6546294258908482;0.21202381804918088;0.1333416034176156;0.4854233786004355;0.5145764991490634;
Aston Villa;1;3;Newcastle Utd;30/01/2024;1.85;4.0;3.8;1.5;2.5;0.45546694830843115;0.2345967974550572;0.30993392816212384;0.600640199313458;0.399358768123946;
Tottenham;3;2;Brentford;31/01/2024;1.67;4.2;4.75;1.5;2.5;0.5740470433254606;0.214499239369232;0.2114453097848731;0.6069988921136993;0.39299994963476415;
Manchester City;3;1;Burnley;31/01/2024;1.08;12.0;21.0;1.33;3.4;0.8507758543180229;0.10570034048401875;0.043310568672603994;0.6639417029362297;0.3360550608286178;
Liverpool;4;1;Chelsea;31/01/2024;1.57;4.33;5.25;1.44;2.7;0.6175111689896728;0.2197961243507447;0.16268820851764024;0.5088634490975963;0.4911363599056561;
West Ham;1;1;Bournemouth;01/02/2024;2.4;3.75;2.75;1.62;2.25;0.6550894780590439;0.19301045130276745;0.15188152579769615;0.6059151117371099;0.39408375245778327;
Wolves;3;4;Manchester Utd;01/02/2024;2.63;3.6;2.55;1.75;2.05;0.34084821373646784;0.2857708035822706;0.3733809086930672;0.39581041790450244;0.6041895620439113;
Everton;2;2;Tottenham;03/02/2024;3.0;3.6;2.25;1.62;2.25;0.2594320668981123;0.24377863796085092;0.49678784509450175;0.5264163292448365;0.4735834053434301;
Newcastle Utd;4;4;Luton Town;03/02/2024;1.44;4.75;6.5;1.57;2.35;0.7222745798510056;0.15543963549527093;0.12216800767230201;0.7209557242251096;0.2790350873973926;
Brighton;4;1;Crystal Palace;03/02/2024;1.7;4.0;4.75;1.73;2.08;0.5500955039721404;0.24546197938538544;0.2044411827793952;0.4665947340539743;0.5334051810846936;
Burnley;2;2;Fulham;03/02/2024;2.9;3.4;2.38;1.99;1.91;0.34138057190336796;0.2817047309854306;0.3769146027737825;0.41034256554132315;0.589657407204029;
Sheffield Utd;0;5;Aston Villa;03/02/2024;5.25;4.2;1.62;1.62;2.25;0.12763565239993555;0.18185444649480145;0.6904848227982803;0.6023044797720849;0.3976944561375208;
Bournemouth;1;1;Nott'ham Forest;04/02/2024;1.7;4.2;4.5;1.65;2.2;0.4241253117061005;0.24297802654744297;0.3328954568653832;0.5700580580177749;0.42994134914068255;
Manchester Utd;3;0;West Ham;04/02/2024;1.62;4.2;5.0;1.6;2.3;0.4528431085810164;0.2475711663007929;0.2995847223341921;0.5357764151753885;0.4642232689931204;
Chelsea;2;4;Wolves;04/02/2024;1.62;4.0;5.5;1.7;2.1;0.5410658251879804;0.27839984286833885;0.18053408726628206;0.33585875204288645;0.6641412427295696;
Arsenal;3;1;Liverpool;04/02/2024;2.2;3.6;3.1;1.67;2.15;0.41268810519622096;0.23202545501372776;0.3552839584147302;0.6287240963936714;0.37127418974607534;
Brentford;1;3;Manchester City;05/02/2024;7.0;4.75;1.4;1.57;2.35;0.139566092719612;0.18819929603873647;0.6722137817016938;0.6012836424090893;0.39871531295024004;
Manchester City;2;0;Everton;10/02/2024;1.18;8.0;13.0;1.44;2.7;0.8507288103175997;0.10528548972721435;0.04376140953723655;0.6691597127979897;0.3308367302034778;
Luton Town;1;3;Sheffield Utd;10/02/2024;1.75;3.75;4.75;1.85;2.05;0.7590053063864591;0.1383626714928758;0.10240425214796767;0.7517079445474849;0.24827566014587965;
Liverpool;3;1;Burnley;10/02/2024;1.17;8.0;17.0;1.33;3.4;0.7751427855064287;0.14645000708730146;0.07834112144184742;0.6188696577710902;0.3811289073344317;
Wolves;0;2;Brentford;10/02/2024;2.1;3.6;3.4;1.75;2.05;0.38100823469799017;0.27908324033279297;0.33990841377272707;0.41977335098276813;0.5802266158645321;
Fulham;3;1;Bournemouth;10/02/2024;2.38;3.5;2.8;1.73;2.08;0.5991609501816729;0.21863959373952907;0.18219392612108987;0.5455241001169493;0.45447552171363664;
